Origin Name,Destination Name,Duration,walktime
Starbucks,Canopy Flyer,5 mins,5
Starbucks,Dino-Soarin,6 mins,6
Starbucks,Jurassic Park Rapids Adventure,6 mins,6
Starbucks,Shrek 4-D Adventure,3 mins,3
Starbucks,Enchanted Airways,3 mins,3
Starbucks,Puss In Boots' Giant Journey,4 mins,4
Starbucks,Magic Potion Spin,3 mins,3
Starbucks,Treasure Hunters,6 mins,6
Starbucks,"Lights, Camera, Action! Hosted by Steven Spielberg",2 mins,2
Starbucks,Mel's Drive-In,1 min,1
Starbucks,Loui's NY Pizza Parlor,3 mins,3
Starbucks,StarBot Café,4 mins,4
Starbucks,Oasis Spice Café,5 mins,5
Starbucks,Discovery Food Court,4 mins,4
Starbucks,Fossil Fuel,5 mins,5
Starbucks,Goldilock,4 mins,4
Starbucks,Friar's Good Food,3 mins,3
Mel's Drive-In,Revenge of the Mummy,4 mins,4
Mel's Drive-In,Battlestar Galactica: HUMAN,3 mins,3
Mel's Drive-In,Battlestar Galactica: CYLON,2 mins,2
Mel's Drive-In,Accelerator,2 mins,2
Mel's Drive-In,TRANSFORMERS The Ride: The Ultimate 3D Battle,1 min,1
Mel's Drive-In,Canopy Flyer,5 mins,5
Mel's Drive-In,Dino-Soarin,5 mins,5
Mel's Drive-In,Jurassic Park Rapids Adventure,5 mins,5
Mel's Drive-In,Shrek 4-D Adventure,3 mins,3
Mel's Drive-In,Enchanted Airways,2 mins,2
Mel's Drive-In,Puss In Boots' Giant Journey,4 mins,4
Mel's Drive-In,Magic Potion Spin,3 mins,3
Mel's Drive-In,Treasure Hunters,5 mins,5
Mel's Drive-In,"Lights, Camera, Action! Hosted by Steven Spielberg",1 min,1
Mel's Drive-In,Starbucks,1 min,1
Mel's Drive-In,Loui's NY Pizza Parlor,6 mins,6
Mel's Drive-In,StarBot Café,2 mins,2
Mel's Drive-In,Oasis Spice Café,4 mins,4
Mel's Drive-In,Discovery Food Court,3 mins,3
Mel's Drive-In,Fossil Fuel,4 mins,4
Mel's Drive-In,Goldilock,3 mins,3
Mel's Drive-In,Friar's Good Food,3 mins,3
Loui's NY Pizza Parlor,Revenge of the Mummy,10 mins,10
Loui's NY Pizza Parlor,Battlestar Galactica: HUMAN,9 mins,9
Loui's NY Pizza Parlor,Battlestar Galactica: CYLON,8 mins,8
Loui's NY Pizza Parlor,Accelerator,4 mins,4
Loui's NY Pizza Parlor,TRANSFORMERS The Ride: The Ultimate 3D Battle,1 min,1
Loui's NY Pizza Parlor,Canopy Flyer,10 mins,10
Loui's NY Pizza Parlor,Dino-Soarin,10 mins,10
Loui's NY Pizza Parlor,Jurassic Park Rapids Adventure,11 mins,11
Loui's NY Pizza Parlor,Shrek 4-D Adventure,8 mins,8
Loui's NY Pizza Parlor,Enchanted Airways,7 mins,7
Loui's NY Pizza Parlor,Puss In Boots' Giant Journey,9 mins,9
Loui's NY Pizza Parlor,Magic Potion Spin,8 mins,8
Loui's NY Pizza Parlor,Treasure Hunters,10 mins,10
Loui's NY Pizza Parlor,"Lights, Camera, Action! Hosted by Steven Spielberg",7 mins,7
Loui's NY Pizza Parlor,Starbucks,3 mins,3
Loui's NY Pizza Parlor,Mel's Drive-In,6 mins,6
Loui's NY Pizza Parlor,StarBot Café,8 mins,8
Loui's NY Pizza Parlor,Oasis Spice Café,10 mins,10
Loui's NY Pizza Parlor,Discovery Food Court,9 mins,9
Loui's NY Pizza Parlor,Fossil Fuel,10 mins,10
Loui's NY Pizza Parlor,Goldilock,8 mins,8
Loui's NY Pizza Parlor,Friar's Good Food,8 mins,8
StarBot Café,Revenge of the Mummy,2 mins,2
StarBot Café,Battlestar Galactica: HUMAN,1 min,1
StarBot Café,Battlestar Galactica: CYLON,1 min,1
StarBot Café,Accelerator,1 min,1
StarBot Café,TRANSFORMERS The Ride: The Ultimate 3D Battle,1 min,1
StarBot Café,Canopy Flyer,4 mins,4
StarBot Café,Dino-Soarin,5 mins,5
StarBot Café,Jurassic Park Rapids Adventure,5 mins,5
StarBot Café,Shrek 4-D Adventure,5 mins,5
StarBot Café,Enchanted Airways,5 mins,5
StarBot Café,Puss In Boots' Giant Journey,5 mins,5
StarBot Café,Magic Potion Spin,5 mins,5
StarBot Café,Treasure Hunters,3 mins,3
StarBot Café,"Lights, Camera, Action! Hosted by Steven Spielberg",1 min,1
StarBot Café,Starbucks,4 mins,4
StarBot Café,Mel's Drive-In,2 mins,2
StarBot Café,Loui's NY Pizza Parlor,8 mins,8
StarBot Café,Oasis Spice Café,2 mins,2
StarBot Café,Discovery Food Court,4 mins,4
StarBot Café,Fossil Fuel,4 mins,4
StarBot Café,Goldilock,5 mins,5
StarBot Café,Friar's Good Food,5 mins,5
Oasis Spice Café,Revenge of the Mummy,1 min,1
Oasis Spice Café,Battlestar Galactica: HUMAN,1 min,1
Oasis Spice Café,Battlestar Galactica: CYLON,1 min,1
Oasis Spice Café,Accelerator,1 min,1
Oasis Spice Café,TRANSFORMERS The Ride: The Ultimate 3D Battle,3 mins,3
Oasis Spice Café,Canopy Flyer,2 mins,2
Oasis Spice Café,Dino-Soarin,3 mins,3
Oasis Spice Café,Jurassic Park Rapids Adventure,3 mins,3
Oasis Spice Café,Shrek 4-D Adventure,3 mins,3
Oasis Spice Café,Enchanted Airways,3 mins,3
